case_id,case_title,case_text,case_category,case_type,jurisdiction,year
2907,Child Custody Matter 1121,"The matter before the court concerns the parents. The matter relates to child custody and involves custody and divorce. The relevant party filed a petition for divorce. The pleadings state that the dispute developed over approximately 6 months and involved an amount or claim valued at 25000 monetary units. The parties relied on agreements, records, correspondence, and other evidence. The record included correspondence and other supporting material. The matter also concerns the documentary record submitted by the parties. Variation 131.",Family,Child Custody,Sessions Court,2020
2220,Partnership Dispute Matter 1562,"The petitioner filed proceedings before the court concerning the company. The matter relates to partnership dispute and involves transaction and business. The relevant party alleged breach of a commercial agreement. The pleadings state that the dispute developed over approximately 36 months and involved an amount or claim valued at 50000 monetary units. The parties relied on agreements, records, correspondence, and other evidence. The record included correspondence and other supporting material. The matter also concerns the documentary record submitted by the parties. Variation 566.",Commercial,Partnership Dispute,Sessions Court,2021
2125,Company Claim Matter 1592,"The claimant brought an action relating to the company. The matter relates to company claim and involves partnership and company. The relevant party claimed payment under a contract. The pleadings state that the dispute developed over approximately 24 months and involved an amount or claim valued at 75000 monetary units. The parties relied on agreements, records, correspondence, and other evidence. The record included correspondence and other supporting material. The claim was examined in light of the facts stated in the pleadings. Variation 114.",Commercial,Company Claim,District Court,2018
604,Business Dispute Matter 1769,"The petitioner filed proceedings before the court concerning the purchaser. The matter relates to business dispute and involves commercial agreement and contract. The relevant party claimed payment under a contract. The pleadings state that the dispute developed over approximately 18 months and involved an amount or claim valued at 100000 monetary units. The parties relied on agreements, records, correspondence, and other evidence. The parties presented documents and statements in support of their respective positions. The parties relied on supporting records during the proceedings. Variation 138.",Commercial,Business Dispute,Family Court,2022
563,Partnership Dispute Matter 1820,"The applicant submitted a petition regarding the respondent company. The matter relates to partnership dispute and involves contract and payment. The relevant party disputed a business transaction. The pleadings state that the dispute developed over approximately 24 months and involved an amount or claim valued at 500000 monetary units. The parties relied on agreements, records, correspondence, and other evidence. The court was requested to consider the relevant facts and evidence. The claim was examined in light of the facts stated in the pleadings. Variation 459.",Commercial,Partnership Dispute,Sessions Court,2021
2269,Contract Dispute Matter 315,"The parties entered into proceedings concerning sale agreement. The matter relates to contract dispute and involves negligence and compensation. The relevant party requested possession. The pleadings state that the dispute developed over approximately 36 months and involved an amount or claim valued at 75000 monetary units. The parties relied on agreements, records, correspondence, and other evidence. The record included correspondence and other supporting material. The parties presented relevant documents for consideration. Variation 205.",Civil,Contract Dispute,District Court,2019
1403,IP Infringement Matter 2811,"The present case arises from a dispute involving the trademark proprietor. The matter relates to ip infringement and involves trademark and licensing. The relevant party claimed copyright ownership. The pleadings state that the dispute developed over approximately 6 months and involved an amount or claim valued at 500000 monetary units. The parties relied on agreements, records, correspondence, and other evidence. The parties presented documents and statements in support of their respective positions. Additional correspondence was considered as part of the dispute. Variation 162.",Intellectual Property,IP Infringement,Civil Court,2024
2068,Guardianship Matter 1129,"The present case arises from a dispute involving the spouse. The matter relates to guardianship and involves divorce and alimony. The relevant party requested maintenance. The pleadings state that the dispute developed over approximately 36 months and involved an amount or claim valued at 100000 monetary units. The parties relied on agreements, records, correspondence, and other evidence. The parties presented documents and statements in support of their respective positions. The matter also concerns the documentary record submitted by the parties. Variation 71.",Family,Guardianship,Family Court,2021
733,Contract Dispute Matter 232,"The present case arises from a dispute involving construction project. The matter relates to contract dispute and involves ownership and property rights. The relevant party sought compensation. The pleadings state that the dispute developed over approximately 48 months and involved an amount or claim valued at 25000 monetary units. The parties relied on agreements, records, correspondence, and other evidence. The dispute remained subject to judicial determination. The claim was examined in light of the facts stated in the pleadings. Variation 239.",Civil,Contract Dispute,Family Court,2025
728,Trade Dispute Matter 1607,"The matter before the court concerns the company. The matter relates to trade dispute and involves commercial agreement and contract. The relevant party sought commercial damages. The pleadings state that the dispute developed over approximately 24 months and involved an amount or claim valued at 75000 monetary units. The parties relied on agreements, records, correspondence, and other evidence. The pleadings set out the circumstances giving rise to the claim. Additional correspondence was considered as part of the dispute. Variation 352.",Civil,Trade Dispute,Civil Court,2025
